date_in_ms,price,time,calendar_week
1559865600000,7.821.123.897.094.850,2019-06-07 02:00:00.000,23
1559952000000,8.036.108.159.122.210,2019-06-08 02:00:00.000,23
1560038400000,7.942.539.284.064.280,2019-06-09 02:00:00.000,23
1560124800000,7.668.029.627.860.180,2019-06-10 02:00:00.000,24
1560211200000,8.002.729.982.894.040,2019-06-11 02:00:00.000,24
1560297600000,7.897.975.476.598.360,2019-06-12 02:00:00.000,24
1560384000000,814.505.909.812.096,2019-06-13 02:00:00.000,24
1560470400000,8.227.625.725.590.900,2019-06-14 02:00:00.000,24
1560556800000,8.671.505.388.660.790,2019-06-15 02:00:00.000,24
1560643200000,8.818.609.506.932.290,2019-06-16 02:00:00.000,24
1560729600000,897.877.258.780.693,2019-06-17 02:00:00.000,25
1560816000000,9.312.868.294.808.700,2019-06-18 02:00:00.000,25
1560902400000,9.094.021.746.079.210,2019-06-19 02:00:00.000,25
1560988800000,9.285.928.674.251.470,2019-06-20 02:00:00.000,25
1561075200000,954.831.456.526.146,2019-06-21 02:00:00.000,25
1561161600000,10.118.359.455.626.800,2019-06-22 02:00:00.000,25
1561248000000,10.704.922.148.115.600,2019-06-23 02:00:00.000,25
1561334400000,1.084.612.509.964.760,2019-06-24 02:00:00.000,26
1561420800000,11.045.550.419.814.800,2019-06-25 02:00:00.000,26
1561507200000,11.808.419.904.075.800,2019-06-26 02:00:00.000,26
1561593600000,12.996.124.342.788.600,2019-06-27 02:00:00.000,26
1561680000000,11.178.682.998.186.500,2019-06-28 02:00:00.000,26
1561766400000,1.235.219.686.591.260,2019-06-29 02:00:00.000,26
1561852800000,11.972.555.667.220.900,2019-06-30 02:00:00.000,26
1561939200000,10.888.097.181.679.700,2019-07-01 02:00:00.000,27
1562025600000,10.639.046.292.232.000,2019-07-02 02:00:00.000,27
1562112000000,10.822.764.178.376.400,2019-07-03 02:00:00.000,27
1562198400000,11.975.637.393.818.800,2019-07-04 02:00:00.000,27
1562284800000,1.122.960.561.912.490,2019-07-05 02:00:00.000,27
1562371200000,10.987.248.856.214.600,2019-07-06 02:00:00.000,27
1562457600000,11.279.476.377.672.400,2019-07-07 02:00:00.000,27
1562544000000,11.436.430.746.923.800,2019-07-08 02:00:00.000,28
1562630400000,1.226.028.269.787.260,2019-07-09 02:00:00.000,28
1562716800000,12.544.167.261.709.200,2019-07-10 02:00:00.000,28
1562803200000,12.166.398.288.868.600,2019-07-11 02:00:00.000,28
1562889600000,11.385.060.490.564.500,2019-07-12 02:00:00.000,28
1562976000000,11.804.562.793.905.400,2019-07-13 02:00:00.000,28
1563062400000,11.418.511.855.491.400,2019-07-14 02:00:00.000,28
1563148800000,10.285.461.109.066.900,2019-07-15 02:00:00.000,29
1563235200000,10.911.345.158.309.600,2019-07-16 02:00:00.000,29
1563321600000,9.538.827.124.243.860,2019-07-17 02:00:00.000,29
1563408000000,9.657.303.101.319.070,2019-07-18 02:00:00.000,29
1563494400000,10.636.155.728.360.600,2019-07-19 02:00:00.000,29
1563580800000,10.536.565.849.576.100,2019-07-20 02:00:00.000,29
1563667200000,10.774.281.137.633.800,2019-07-21 02:00:00.000,29
1563753600000,10.607.463.560.702.100,2019-07-22 02:00:00.000,30
1563840000000,10.343.318.139.598.300,2019-07-23 02:00:00.000,30
1563926400000,9.936.380.762.347.030,2019-07-24 02:00:00.000,30
1564012800000,9.799.306.312.967.930,2019-07-25 02:00:00.000,30
1564099200000,987.823.193.291.115,2019-07-26 02:00:00.000,30
1564185600000,9.845.999.447.078.500,2019-07-27 02:00:00.000,30
1564272000000,9.447.678.401.413.300,2019-07-28 02:00:00.000,30
1564358400000,9.534.755.426.833.230,2019-07-29 02:00:00.000,31
1564444800000,9.510.593.552.181.640,2019-07-30 02:00:00.000,31
1564531200000,9.568.437.452.164.310,2019-07-31 02:00:00.000,31
1564617600000,10.062.996.285.663.300,2019-08-01 02:00:00.000,31
1564704000000,10.361.312.000.080.600,2019-08-02 02:00:00.000,31
1564790400000,10.529.171.907.427.600,2019-08-03 02:00:00.000,31
1564876800000,10.791.200.523.159,2019-08-04 02:00:00.000,31
1564963200000,10.951.593.834.840.000,2019-08-05 02:00:00.000,32
1565049600000,11.818.525.531.066.100,2019-08-06 02:00:00.000,32
1565136000000,11.510.164.154.730.000,2019-08-07 02:00:00.000,32
1565222400000,11.970.657.556.451.900,2019-08-08 02:00:00.000,32
1565308800000,12.024.331.570.998.200,2019-08-09 02:00:00.000,32
1565395200000,11.852.561.606.995.500,2019-08-10 02:00:00.000,32
1565481600000,11.327.842.642.233.200,2019-08-11 02:00:00.000,32
1565568000000,11.549.998.354.322.400,2019-08-12 02:00:00.000,33
1565654400000,11.381.241.355.678.500,2019-08-13 02:00:00.000,33
1565740800000,109.036.549.918.801,2019-08-14 02:00:00.000,33
1565827200000,10.016.217.389.275.200,2019-08-15 02:00:00.000,33
1565913600000,1.029.587.714.290.960,2019-08-16 02:00:00.000,33
1566000000000,10.324.993.597.415.500,2019-08-17 02:00:00.000,33
1566086400000,10.224.218.706.633.900,2019-08-18 02:00:00.000,33
1566172800000,10.309.872.435.928.500,2019-08-19 02:00:00.000,34
1566259200000,1.089.597.184.442.920,2019-08-20 02:00:00.000,34
1566345600000,10.743.789.313.302.000,2019-08-21 02:00:00.000,34
1566432000000,10.124.058.214.168.900,2019-08-22 02:00:00.000,34
1566518400000,1.012.778.985.767.830,2019-08-23 02:00:00.000,34
1566604800000,10.385.509.090.033.800,2019-08-24 02:00:00.000,34
1566691200000,1.014.501.247.970.690,2019-08-25 02:00:00.000,34
1566777600000,10.090.061.576.030.900,2019-08-26 02:00:00.000,35
1566864000000,10.334.911.854.471.300,2019-08-27 02:00:00.000,35
1566950400000,10.167.889.390.020.200,2019-08-28 02:00:00.000,35
1567036800000,975.348.704.889.705,2019-08-29 02:00:00.000,35
1567123200000,9.485.141.423.780.750,2019-08-30 02:00:00.000,35
1567209600000,958.898.750.205.815,2019-08-31 02:00:00.000,35
