date_in_ms;price
1435363200000;250.621
1435449600000;2.483.451
1435536000000;2.563.038.739.667.170
1435622400000;2.624.063.254.601.770
1435708800000;2.575.058
1435795200000;2.546.537.509.187.550
1435881600000;255.161
1435968000000;260.415
1436054400000;2.710.401.208.003.440
1436140800000;268.595
1436227200000;2.653.844.519.614.870
1436313600000;2.696.130.164.214.260
1436400000000;2.688.928.000.000.000
1436486400000;2.850.223
1436572800000;2.918.907.431.569.510
1436659200000;3.101.915.636.277.560
1436745600000;2.906.655
1436832000000;2.866.653.999.999.990
1436918400000;2.839.491.880.809.250
1437004800000;2.766.800.999.999.990
1437091200000;2.783.728
1437177600000;2.744.838.999.999.990
1437264000000;272.806.179.588.859
1437350400000;2.772.454
1437436800000;2.749.428.876.558.470
1437523200000;2.761.756.000.000.000
1437609600000;2.756.135
1437696000000;2.884.447.167.883.330
1437782400000;2.883.881.586.253.320
1437868800000;2.917.037.645.294.950
1437955200000;2.926.148
1438041600000;2.939.933
1438128000000;2.887.194.990.885.920
1438214400000;2.868.366
1438300800000;2.836.760.591.480.210
1438387200000;2.807.014
1438473600000;2.817.267
1438560000000;281.829.870.770.124
1438646400000;2.842.393
1438732800000;2.814.010.623.650.270
1438819200000;2.780.134
1438905600000;2.785.088.137.572.820
1438992000000;2.598.007.283.854.690
1439078400000;2.643.384.833.893.250
1439164800000;2.635.782
1439251200000;2.698.668
1439337600000;2.677.126
1439424000000;2.636.558.186.169.030
1439510400000;2.651.281.000.000.000
1439596800000;2.604.762.322.897.640
1439683200000;2.578.158.000.000.000
1439769600000;2.570.634.000.000.000
1439856000000;2.530.766
1439942400000;2.259.602
1440028800000;2.346.379
1440115200000;2.323.324.000.000.000
1440201600000;2.291.488
1440288000000;2.272.453.999.999.990
1440374400000;2.100.943.850.637.930
1440460800000;2.213.282.999.999.990
1440547200000;2.252.666.000.000.000
1440633600000;2.229.704
1440720000000;2.316.583
1440806400000;2.284.683
1440892800000;2.280.672
1440979200000;2.300.781
1441065600000;2.271.631
1441152000000;2.286.427.999.999.990
1441238400000;2.265.658
1441324800000;2.300.509
1441411200000;2.347.495
1441497600000;2.391.288.999.999.990
1441584000000;240.503
1441670400000;2.435.587
1441756800000;2.379.452
1441843200000;2.387.763
1441929600000;2.400.007.956.438.860
1442016000000;2.349.098
1442102400000;2.305.048.000.000.000
1442188800000;230.21
1442275200000;2.299.118
1442361600000;2.284.640.000.000.000
1442448000000;232.746
1442534400000;232.354
1442620800000;2.312.732.999.999.990
1442707200000;2.306.597
1442793600000;2.264.528
1442880000000;2.298.831
1442966400000;2.298.658
1443052800000;2.339.255
1443139200000;2.349.767
1443225600000;2.345.278.999.999.990
1443312000000;2.328.346.999.999.990
1443398400000;2.392.765
1443484800000;2.372.262
1443571200000;2.360.463
1443657600000;2.377.358
1443744000000;2.372.592.999.999.990
1443830400000;2.389.718
1443916800000;2.386.566
1444003200000;2.403.238
1444089600000;246.444
1444176000000;2.432.229.000.000.000
1444262400000;2.429.008
1444348800000;2.442.051
1444435200000;2.453.209
1444521600000;2.475.392
1444608000000;2.455.661
1444694400000;2.494.051
1444780800000;2.526.956
1444867200000;2.546.295.530.746.220
1444953600000;2.623.735
1445040000000;2.703.646
1445126400000;2.622.345
1445212800000;2.642.094
1445299200000;2.702.663.999.999.990
1445385600000;2.670.187
1445472000000;2.735.729.999.999.990
1445558400000;2.773.883.999.999.990
1445644800000;2.829.566
1445731200000;284.749
1445817600000;2.855.159
1445904000000;2.948.093.999.999.990
1445990400000;3.036.366
1446076800000;3.139.073
1446163200000;3.258.005.999.999.990
1446249600000;3.122.783
1446336000000;3.249.970.999.999.990
1446422400000;3.507.678
1446508800000;3.982.369
1446595200000;4.043.588
1446681600000;387.473
1446768000000;3.728.260.000.000.000
1446854400000;3.870.599.999.999.990
1446940800000;3.715.020.000.000.000
1447027200000;3.806.439.999.999.990
1447113600000;3.368.729.999.999.990
1447200000000;3.059.829.999.999.990
1447286400000;337.955
1447372800000;337.372
1447459200000;331.501
1447545600000;320.484
1447632000000;331.353
1447718400000;335.111
1447804800000;335.447
1447891200000;3.255.680.000.000.000
1447977600000;321.417
1448064000000;325.159
1448150400000;323.395
1448236800000;3.228.290.000.000.000
1448323200000;3.199.789.999.999.990
1448409600000;3.281.689.999.999.990
1448496000000;356.245
1448582400000;359.011
1448668800000;356.212
1448755200000;3.714.880.000.000.000
1448841600000;378.265
1448928000000;3.634.499.999.999.990
1449014400000;3.588.199.999.999.990
1449100800000;360.954
1449187200000;3.627.669.999.999.990
1449273600000;390.645
1449360000000;3.940.109.999.999.990
1449446400000;394.355
1449532800000;4.129.300.000.000.000
1449619200000;4.173.679.999.999.990
1449705600000;416.91
1449792000000;4.524.149.999.999.990
1449878400000;434.903
1449964800000;4.358.150.000.000.000
1450051200000;443.277
1450137600000;4.649.989.999.999.990
1450224000000;4.539.139.999.999.990
1450310400000;456.473
1450396800000;463.816
1450483200000;4.620.529.999.999.990
1450569600000;4.411.289.999.999.990
1450656000000;4.378.090.000.000.000
1450742400000;4.362.370.000.000.000
1450828800000;442.821
1450915200000;454.907
1451001600000;4.557.419.999.999.990
1451088000000;417.092
1451174400000;423.925
1451260800000;420.708
1451347200000;4.321.540.000.000.000
1451433600000;426.811
1451520000000;431.139
1451606400000;4.344.269.999.999.990
1451692800000;4.343.260.000.000.000
1451779200000;430.198
1451865600000;4.335.339.999.999.990
1451952000000;432.115
1452038400000;4.313.430.000.000.000
1452124800000;456.434
1452211200000;4.546.963.000.000.000
1452297600000;4.487.090.000.000.000
1452384000000;4.472.069.999.999.990
1452470400000;4.483.490.000.000.000
1452556800000;445.792
1452643200000;4.321.200.000.000.000
1452729600000;4.292.429.999.999.990
1452816000000;365.912
1452902400000;384.813
1452988800000;3.863.560.000.000.000
1453075200000;3.851.320.000.000.000
1453161600000;379.015
1453248000000;418.848
1453334400000;4.078.150.000.000.000
1453420800000;3.772.100.000.000.000
1453507200000;3.896.409.999.999.990
1453593600000;4.030.559.999.999.990
1453680000000;3.923.260.000.000.000
1453766400000;3.924.559.999.999.990
1453852800000;394.491
1453939200000;3.795.519.999.999.990
1454025600000;378.912
1454112000000;376.921
1454198400000;364.352
1454284800000;371.041
1454371200000;3.728.679.999.999.990
1454457600000;368.124
1454544000000;3.883.759.999.999.990
1454630400000;3.857.330.000.000.000
1454716800000;3.749.049.999.999.990
1454803200000;3.755.170.000.000.000
1454889600000;3.711.359.999.999.990
1454976000000;373.909
1455062400000;379.829
1455148800000;377.058
1455235200000;382.72
1455321600000;3.904.240.000.000.000
1455408000000;4.041.440.000.000.000
1455494400000;399.379
1455580800000;4.070.129.999.999.990
1455667200000;4.168.499.999.999.990
1455753600000;4.214.220.000.000.000
1455840000000;419.377
1455926400000;4.411.199.999.999.990
1456012800000;4.386.499.999.999.990
1456099200000;4.378.029.999.999.990
1456185600000;4.203.020.000.000.000
1456272000000;4.231.870.000.000.000
1456358400000;423.142
1456444800000;427.029
1456531200000;4.321.390.000.000.000
1456617600000;4.327.970.000.000.000
1456704000000;436.919
1456790400000;431.371
1456876800000;424.485
1456963200000;4.201.709.999.999.990
1457049600000;409.408
1457136000000;3.972.410.000.000.000
1457222400000;404.912
1457308800000;413.74
1457395200000;4.118.770.000.000.000
1457481600000;4.123.190.000.000.000
1457568000000;4.162.920.000.000.000
1457654400000;419.299
1457740800000;4.108.010.000.000.000
1457827200000;4.124.949.999.999.990
1457913600000;414.585
1458000000000;4.156.410.000.000.000
1458086400000;4.165.440.000.000.000
1458172800000;4.184.000.000.000.000
1458259200000;408.28
1458345600000;4.067.389.999.999.990
1458432000000;4.118.820.000.000.000
1458518400000;411.091
1458604800000;416.36
1458691200000;418.076
1458777600000;4.148.829.999.999.990
1458864000000;415.743
1458950400000;4.167.149.999.999.990
1459036800000;425.349
1459123200000;422.756
1459209600000;4.155.470.000.000.000
1459296000000;412.597
1459382400000;415.366
1459468800000;416.754
1459555200000;4.196.700.000.000.000
1459641600000;4.181.850.000.000.000
1459728000000;419.437
1459814400000;422.651
1459900800000;42.165.599.999.999.900
1459987200000;421.076
1460073600000;4.184.740.000.000.000
1460160000000;416.145
1460246400000;421.133
1460332800000;4.225.840.000.000.000
1460419200000;426.181
1460505600000;42.426.900.000.000.000
1460592000000;424.932
1460678400000;429.966
1460764800000;430.941
1460851200000;428.027
1460937600000;4.285.059.999.999.990
1461024000000;436.37
1461110400000;441.916
1461196800000;4.510.830.000.000.000
1461283200000;447.488
1461369600000;451.818
1461456000000;4.599.229.999.999.990
1461542400000;4.604.659.999.999.990
1461628800000;4.678.559.999.999.990
1461715200000;444.789
